"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,115.5,6.33687325914
,,116,6.43583415707
,,116.5,6.5311494167
,,117,6.62975260921
,,117.5,6.72990124412
,,118,6.82297728129
,,118.5,6.92105226175
,,119,7.00865510738
,,119.5,7.09440523836
,,120,7.17660055801
,,120.5,7.26380014276
,,121,7.34233413019
,,121.5,7.4343861537
,,122,7.51098148615
,,122.5,7.58747332191
,,123,7.68082382931
,,123.5,7.7587818232
,,124,7.83155995069
,,124.5,7.91269224121
,,125,7.99539766239
,,125.5,8.07630132873
,,126,8.15204688703
,,126.5,8.23441433897
,,127,8.32337630662
,,127.5,8.40550548652
,,128,8.47748479
,,128.5,8.56441394685
,,129,8.63620276601
,,129.5,8.71457204928
,,130,8.78118957601
,,130.5,8.86602133224
,,131,8.95073558977
,,131.5,9.02870234417
,,132,9.12312593676
,,132.5,9.19922286908
,,133,9.28018070877
,,133.5,9.36103416535
,,134,9.44672454189
,,134.5,9.52736530428
,,135,9.59640474119
,,135.5,9.67849750226
,,136,9.75229143045
,,136.5,9.83091212164
,,137,9.90943767744
,,137.5,9.97970327631
,,138,10.0515250327
,,138.5,10.1265277115
,,139,10.1949341987
,,139.5,10.2681487831
,,140,10.3688909152
,,140.5,10.4467811588
,,141,10.5262015613
,,141.5,10.6022931052
,,142,10.0401040949
,,142.5,9.17441886803
,,143,8.33511600624
,,143.5,7.7249000816
,,144,7.22962048616
,,144.5,6.78852322813
,,145,6.46357972451
,,145.5,6.19418453401
,,146,5.94617227896
,,146.5,5.75499415151
,,147,5.58426640537
,,147.5,5.44303083659
,,148,5.31026551612
,,148.5,5.20024906909
,,149,5.10601159335
,,149.5,5.01337944664
,,150,4.93664955094
,,150.5,4.86695464826
,,151,4.80432427964
,,151.5,4.75057777542
,,152,4.70394995908
,,152.5,4.66805226675
,,153,4.62314315653
,,153.5,4.58179034139
,,154,4.55660191217
,,154.5,4.52599846453
,,155,4.49177184095
,,155.5,4.47374815112
,,156,4.44850374756
,,156.5,4.43226826713
,,157,4.41241751815
,,157.5,4.38894705205
,,158,4.36907853435
,,158.5,4.36185159482
,,159,4.34377951711
,,159.5,4.33112503871
,,160,4.31485011902
,,160.5,4.30942392556
,,161,4.3039971215
,,161.5,4.28047390775
,,162,4.28047390775
,,162.5,4.27504384229
,,163,4.26599237209
,,163.5,4.25693919936
,,164,4.24245057833
,,164.5,4.23701621976
,,165,4.23882774088
,,165.5,4.23158124672
,,166,4.23339297269
,,166.5,4.22614565892
,,167,4.22252159205
,,167.5,4.21346022836
,,168,4.22070945607
,,168.5,4.21164775043
,,169,4.20620990602
,,169.5,4.21164775043
,,170,4.20439715432
,,170.5,4.20258433415
,,171,4.20620990602
,,171.5,4.19895848836
,,172,4.20258433415
,,172.5,4.20258433415
,,173,4.2007714455
,,173.5,4.19714546272
,,174,4.20439715432
,,174.5,4.20258433415
,,175,4.19714546272
,,175.5,4.2007714455
,,176,4.19895848836
,,176.5,4.19895848836
,,177,4.19533236857
,,177.5,4.2007714455
,,178,4.20439715432
,,178.5,4.20439715432
,,179,4.20802258927
,,179.5,4.20802258927
,,180,4.20439715432
,,180.5,4.20439715432
,,181,4.20620990602
,,181.5,4.21346022836
,,182,4.22252159205
,,182.5,4.22795758984
,,183,4.23158124672
,,183.5,4.22252159205
,,184,4.22614565892
,,184.5,4.22070945607
,,185,4.21164775043
,,185.5,4.21527263789
,,186,4.22795758984
,,186.5,4.22070945607
,,187,4.22976945244
,,187.5,4.22614565892
,,188,4.22252159205
