"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,115.5,21.3742508941
,,116,21.356700732
,,116.5,21.3347612207
,,117,21.3201337586
,,117.5,21.3025796149
,,118,21.2835611562
,,118.5,21.2616148728
,,119,21.2455196265
,,119.5,21.2308866223
,,120,21.2074719015
,,120.5,21.1855184514
,,121,21.1679541865
,,121.5,21.1562439305
,,122,21.1372134868
,,122.5,21.1123251252
,,123,21.0991478292
,,123.5,21.0786482868
,,124,21.0625401948
,,124.5,21.0405727508
,,125,21.0215325521
,,125.5,21.003955538
,,126,20.9863771298
,,126.5,20.9687973223
,,127,20.9497509454
,,127.5,20.9263069773
,,128,20.9101877877
,,128.5,20.8911362945
,,129,20.8750144908
,,129.5,20.8588914824
,,130,20.8339717261
,,130.5,20.8178456319
,,131,20.7943873164
,,131.5,20.7811908751
,,132,20.7635943395
,,132.5,20.7474628921
,,133,20.7225300366
,,133.5,20.7078622634
,,134,20.6858586681
,,134.5,20.6682541131
,,135,20.6550497141
,,135.5,20.6345078575
,,136,20.6154314378
,,136.5,20.5934179751
,,137,20.5772732589
,,137.5,20.5640629917
,,138,20.544979974
,,138.5,20.5244270148
,,139,20.5053402438
,,139.5,20.4891884793
,,140,20.4759724281
,,140.5,20.4554123832
,,141,20.4319125807
,,141.5,20.4216305389
,,142,20.3981267145
,,142.5,20.3834353963
,,143,20.3599269928
,,143.5,20.3437633215
,,144,20.3261286922
,,144.5,20.3070226986
,,145,20.2908546117
,,145.5,20.2717451209
,,146,20.2482231327
,,146.5,20.2335204192
,,147,20.2188165706
,,147.5,20.202641022
,,148,20.182051961
,,148.5,20.1644024061
,,149,20.1438091645
,,149.5,20.1276271726
,,150,20.1070298822
,,150.5,20.0923161367
,,151,20.0731865233
,,151.5,20.0555266629
,,152,20.0363932386
,,152.5,20.0231458553
,,153,20.0010647548
,,153.5,19.9863425386
,,154,19.9672018782
,,154.5,19.9451139928
,,155,19.9289144961
,,155.5,19.9156592804
,,156,19.895038114
,,156.5,19.8744145757
,,157,19.8596820197
,,157.5,19.8346338774
,,158,19.8184243726
,,158.5,19.7977919454
,,159,19.7697869307
,,159.5,19.7417774463
,,160,19.7211360056
,,160.5,19.694593412
,,161,19.6739463624
,,161.5,19.6606719559
,,162,19.6400208456
,,162.5,19.6252685323
,,163,19.601662187
,,163.5,19.5913333847
,,164,19.5706738999
,,164.5,19.5544396842
,,165,19.5382039117
,,165.5,19.524918937
,,166,19.5027749835
,,166.5,19.4835811949
,,167,19.4702918983
,,167.5,19.4540479884
,,168,19.4378024944
,,168.5,19.4200783254
,,169,19.4038295047
,,169.5,19.389056463
,,170,19.3713270652
,,170.5,19.3565511064
,,171,19.3417738163
,,171.5,19.3255172556
,,172,19.3063028683
,,172.5,19.2856079131
,,173,19.2723026193
,,173.5,19.2589962316
,,174,19.2368164812
,,174.5,19.2220282834
,,175,19.2072387236
,,175.5,19.1850518227
,,176,19.1702588431
,,176.5,19.1599029401
,,177,19.1436280154
,,177.5,19.1229120595
,,178,19.1021933895
,,178.5,19.0859125245
,,179,19.0770313424
,,179.5,19.0592674707
,,180,19.041501584
,,180.5,19.0266951349
,,181,19.0059637419
,,181.5,18.9941159901
,,182,18.9807861872
,,182.5,18.9644926465
,,183,18.9511602889
,,183.5,18.930418772
,,184,18.9156016885
,,184.5,18.9037469905
,,185,18.8874452805
,,185.5,18.8755883981
,,186,18.8548366326
,,186.5,18.8385296854
,,187,18.8266689854
,,187.5,18.8088761912
,,188,18.79404726
,,188.5,18.7777337485
,,189,18.761418465
,,189.5,18.7465848475
,,190,18.7287825635
,,190.5,18.7169131938
,,191,18.697623449
,,191.5,18.6857515915
,,192,18.6723946149
,,192.5,18.6530990743
,,193,18.6367701072
,,193.5,18.6234086957
,,194,18.607076431
,,194.5,18.5937123152
,,195,18.5818320761
,,195.5,18.5699508705
,,196,18.5491564295
,,196.5,18.5372725567
,,197,18.5239020362
,,197.5,18.5149876703
,,198,18.4941853456
,,198.5,18.4793247058
,,199,18.4644625315
,,199.5,18.4495988194
,,200,18.4347335659
,,200.5,18.4198667675
,,201,18.4094590875
,,201.5,18.393102626
,,202,18.3797186676
,,202.5,18.3633587822
,,203,18.349972016
,,203.5,18.3350963445
,,204,18.3202191046
,,204.5,18.3112920063
,,205,18.297900296
,,205.5,18.2874836382
,,206,18.2696247089
,,206.5,18.2502749613
,,207,18.2458092539
,,207.5,18.2294337687
,,208,18.2190120018
,,208.5,18.1996552158
,,209,18.1862527798
,,209.5,18.1728490446
,,210,18.1594440077
,,210.5,18.1460376664
,,211,18.1370993796
,,211.5,18.1192210603
,,212,18.1043206793
,,212.5,18.0953796716
,,213,18.0789863036
,,213.5,18.0625909639
,,214,18.0536472185
,,214.5,18.0417213085
,,215,18.0283034063
,,215.5,18.0148841742
,,216,18.0059372793
,,216.5,17.9895330982
,,217,17.9761100097
,,217.5,17.9626855812
,,218,17.9477679748
,,218.5,17.9373246621
,,219,17.9224042295
