"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,115.5,20.4759724281
,,116,20.4627555005
,,116.5,20.4436628305
,,117,20.4260371938
,,117.5,20.4098789776
,,118,20.3981267145
,,118.5,20.3834353963
,,119,20.3599269928
,,119.5,20.3437633215
,,120,20.3261286922
,,120.5,20.312901667
,,121,20.2952642245
,,121.5,20.2776251667
,,122,20.2643948101
,,122.5,20.2423421833
,,123,20.2246982465
,,123.5,20.2070526721
,,124,20.1938174133
,,124.5,20.1835226826
,,125,20.1614606527
,,125.5,20.1467511945
,,126,20.1290983207
,,126.5,20.1129150546
,,127,20.0996731551
,,127.5,20.0849588268
,,128,20.0628851433
,,128.5,20.0511114337
,,129,20.0378651111
,,129.5,20.0202018624
,,130,20.0069533089
,,130.5,19.9922315677
,,131,19.9716191326
,,131.5,19.9524769205
,,132,19.9377507653
,,132.5,19.9244961992
,,133,19.9127135443
,,133.5,19.895038114
,,134,19.8758877644
,,134.5,19.8582086972
,,135,19.8434748012
,,135.5,19.8184243726
,,136,19.8066347093
,,136.5,19.7815790593
,,137,19.7506230309
,,137.5,19.7358801411
,,138,19.7137634697
,,138.5,19.7004921168
,,139,19.6768960918
,,139.5,19.6606719559
,,140,19.6459214159
,,140.5,19.6267438208
,,141,19.6164165347
,,141.5,19.5957600909
,,142,19.5839552853
,,142.5,19.5691981263
,,143,19.5573914754
,,143.5,19.5396799555
,,144,19.5234427641
,,144.5,19.5086803229
,,145,19.4909636814
,,145.5,19.4761983827
,,146,19.4614317799
,,146.5,19.4466638696
,,147,19.4333716296
,,147.5,19.417124113
,,148,19.4067839545
,,148.5,19.389056463
,,149,19.3801920028
,,149.5,19.363939252
,,150,19.349162628
,,150.5,19.3373403692
,,151,19.3181273747
,,151.5,19.3003902929
,,152,19.2915210265
,,152.5,19.2737810393
,,153,19.2604747733
,,153.5,19.2486460611
,,154,19.2309013653
,,154.5,19.2161126231
,,155,19.2042806478
,,155.5,19.1865310452
,,156,19.1732175488
,,156.5,19.1584234704
,,157,19.1480667967
,,157.5,19.1317906581
,,158,19.1184725733
,,158.5,19.1021933895
,,159,19.088872807
,,159.5,19.0755510966
,,160,19.0607478702
,,160.5,19.0444627053
,,161,19.0340985351
,,161.5,19.0178105904
,,162,19.0059637419
,,162.5,18.9941159901
,,163,18.9807861872
,,163.5,18.9704177691
,,164,18.9585672965
,,164.5,18.94078988
,,165,18.9274554697
,,165.5,18.9126381
,,166,18.9052288779
,,166.5,18.8829990576
,,167,18.8755883981
,,167.5,18.8607659973
,,168,18.8444596871
,,168.5,18.8340820318
,,169,18.8177728502
,,169.5,18.8029447938
,,170,18.7925642866
,,170.5,18.7777337485
,,171,18.7703179305
,,171.5,18.7525184709
,,172,18.7436179475
,,172.5,18.7258153097
,,173,18.7109781543
,,173.5,18.697623449
,,174,18.6902036494
,,174.5,18.6738787829
,,175,18.6605207343
,,175.5,18.648645899
,,176,18.6397391449
,,176.5,18.6204393282
,,177,18.6115308653
,,177.5,18.6041067328
,,178,18.5907423459
,,178.5,18.5758915943
,,179,18.5625246254
,,179.5,18.5476709986
,,180,18.5357870041
,,180.5,18.5268733696
,,181,18.5149876703
,,181.5,18.5045868824
,,182,18.4852691456
,,182.5,18.4778385574
,,183,18.4614899123
,,183.5,18.4510852599
,,184,18.4362201607
,,184.5,18.422840251
,,185,18.4154064262
,,185.5,18.4035115007
,,186,18.3945896548
,,186.5,18.3826929895
,,187,18.3663334472
,,187.5,18.351459497
,,188,18.3440219354
,,188.5,18.329145637
,,189,18.3157556262
,,189.5,18.3098041015
,,190,18.2934361088
,,190.5,18.2830191194
,,191,18.2755779385
,,191.5,18.2606943893
,,192,18.2502749613
,,192.5,18.2428320362
,,193,18.2309225288
,,193.5,18.2219897292
,,194,18.2056114377
,,194.5,18.1922095783
,,195,18.1832742844
,,195.5,18.1698702601
,,196,18.1579544787
,,196.5,18.1460376664
,,197,18.1370993796
,,197.5,18.125180759
,,198,18.1177310952
,,198.5,18.0998502486
,,199,18.0864380787
,,199.5,18.0760054796
,,200,18.067062616
,,200.5,18.0551378836
,,201,18.0447028843
,,201.5,18.037248822
,,202,18.0238304768
,,202.5,18.0104108008
,,203,17.9999723534
,,203.5,17.98804171
,,204,17.9746184728
,,204.5,17.9701437626
,,205,17.9567187377
,,205.5,17.9432923691
,,206,17.9343407088
,,206.5,17.9283726024
,,207,17.9104666832
,,207.5,17.903005174
,,208,17.8880809013
,,208.5,17.8821107232
,,209,17.8716622659
,,209.5,17.8582273255
,,210,17.8507628809
,,210.5,17.8418049915
,,211,17.8328464948
,,211.5,17.8179143154
,,212,17.8134343317
,,212.5,17.7970064198
,,213,17.7835638734
,,213.5,17.7686260947
,,214,17.7671322231
,,214.5,17.7551806366
,,215,17.7492044335
,,215.5,17.7372512067
,,216,17.7282855676
,,216.5,17.711846959
,,217,17.7058687679
,,217.5,17.6939115599
,,218,17.6834480985
,,218.5,17.6714888216
,,219,17.6625186382
,,219.5,17.6565381698
,,220,17.6460716834
,,220.5,17.6326135232
,,221,17.626631667
,,221.5,17.6176583608
,,222,17.6027014571
,,222.5,17.5892387518
,,223,17.5832548728
,,223.5,17.5697901209
,,224,17.560812831
,,224.5,17.5518349091
,,225,17.5488421279
,,225.5,17.5338771663
,,226,17.5219039286
,,226.5,17.511426419
,,227,17.4994510618
,,227.5,17.4919658883
,,228,17.4814859008
,,228.5,17.4754969462
,,229,17.4620207587
,,229.5,17.457528376
,,230,17.4485431297
,,230.5,17.4380595309
,,231,17.4275750573
,,231.5,17.4215835361
,,232,17.4095996345
,,232.5,17.4006109556
,,233,17.388625045
,,233.5,17.3811332667
,,234,17.3721425388
,,234.5,17.3631511622
,,235,17.3541591361
,,235.5,17.3451664597
,,236,17.3361731322
,,236.5,17.3256800928
,,237,17.3166853518
,,237.5,17.309189235
,,238,17.2986939081
,,238.5,17.2911967
,,239,17.2806998433
,,239.5,17.2717018261
,,240,17.2627031511
,,240.5,17.2582035668
,,241,17.2462038695
,,241.5,17.2417036807
,,242,17.2282021232
,,242.5,17.2192002581
,,243,17.2086972449
,,243.5,17.1966926956
,,244,17.1876885086
,,244.5,17.1831861657
,,245,17.171179104
,,245.5,17.169678138
,,246,17.1576697429
,,246.5,17.150163893
,,247,17.1396549231
,,247.5,17.1321479581
,,248,17.1246405276
,,248.5,17.1126276697
,,249,17.1066207928
,,249.5,17.0946061421
,,250,17.0870963775
,,250.5,17.0825902939
,,251,17.0750797798
,,251.5,17.0675687966
,,252,17.0570526314
,,252.5,17.0495405206
,,253,17.0405253665
,,253.5,17.0345148868
,,254,17.023995821
,,254.5,17.0119728981
,,255,17.0059609827
,,255.5,17.0014518474
,,256,16.992433065
,,256.5,16.9849168914
,,257,16.9774002431
,,257.5,16.9698831197
,,258,16.9563510985
,,258.5,16.9518400818
,,259,16.9398098646
,,259.5,16.9307863995
,,260,16.9232663194
,,260.5,16.9112331955
,,261,16.9097289688
,,261.5,16.8991988444
,,262,16.8901722746
,,262.5,16.8811450126
,,263,16.8811450126
,,263.5,16.8691075851
,,264,16.8660980355
,,264.5,16.8540590652
,,265,16.852554107
,,265.5,16.8405137456
,,266,16.8284721455
,,266.5,16.8179347278
,,267,16.8119129193
,,267.5,16.8043852215
,,268,16.7953513424
,,268.5,16.7878225745
,,269,16.7833050799
,,269.5,16.7712575694
,,270,16.7622211164
,,270.5,16.757702626
,,271,16.7441460978
,,271.5,16.730587982
,,272,16.7245616425
,,272.5,16.7200416815
,,273,16.7110012286
,,273.5,16.6944252239
,,274,16.6838756147
,,274.5,16.6763395871
,,275,16.6657883179
,,275.5,16.6552360785
,,276,16.6492057912
,,276.5,16.6416674857
