"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,115,25.8408900423
,,115.5,25.8336443291
,,116,25.8206020488
,,116.5,25.8133563388
,,117,25.8003140616
,,117.5,25.7887209259
,,118,25.7771277882
,,118.5,25.7684329329
,,119,25.7524923579
,,119.5,25.7380009158
,,120,25.7162637277
,,120.5,25.7003230994
,,121,25.6945265014
,,121.5,25.6800349914
,,122,25.6669926119
,,122.5,25.6582976805
,,123,25.649602739
,,123.5,25.6365603063
,,124,25.6264161739
,,124.5,25.61772119
,,125,25.6075770257
,,125.5,25.6017803521
,,126,25.591636158
,,126.5,25.5843902929
,,127,25.5727968865
,,127.5,25.5626526324
,,128,25.5539575394
,,128.5,25.5452624289
,,129,25.5365673005
,,129.5,25.5264229603
,,130,25.5206261828
,,130.5,25.511931
,,131,25.5061342002
,,131.5,25.4988881875
,,132,25.4829469071
,,132.5,25.472802417
,,133,25.4670055516
,,133.5,25.4554117891
,,134,25.4452672116
,,134.5,25.4380210641
,,135,25.426427191
,,135.5,25.4162825138
,,136,25.407587047
,,136.5,25.3974423008
,,137,25.3901960299
,,137.5,25.3815004784
,,138,25.3713556311
,,138.5,25.3612107428
,,139,25.3525150908
,,139.5,25.3438194074
,,140,25.3365729801
,,140.5,25.3278772374
,,141,25.3177321624
,,141.5,25.3075870411
,,142,25.3003404972
,,142.5,25.2930939289
,,143,25.2814993681
,,143.5,25.272803405
,,144,25.2583100507
,,144.5,25.2525126795
,,145,25.2452659415
,,145.5,25.2351204627
,,146,25.2220761963
,,146.5,25.2162787154
,,147,25.2090318386
,,147.5,25.1959873875
,,148,25.1858416375
,,148.5,25.1756958288
,,149,25.166999374
,,149.5,25.1568534537
,,150,25.1467074721
,,150.5,25.1336625466
,,151,25.1264153205
,,151.5,25.120617516
,,152,25.110471307
,,152.5,25.1003250321
,,153,25.0930776521
,,153.5,25.0785827882
,,154,25.0698858026
,,154.5,25.0611887658
,,155,25.0495926359
,,155.5,25.0408954771
,,156,25.0336478042
,,156.5,25.0249505473
,,157,25.01335412
,,157.5,25.000308022
,,158,24.9945097159
,,158.5,24.9858122094
,,159,24.9771146458
,,159.5,24.9684170245
,,160,24.9582697259
,,160.5,24.9495719773
,,161,24.9394245286
,,161.5,24.9263776879
,,162,24.9205790478
,,162.5,24.9089816853
,,163,24.8988339019
,,163.5,24.8901357334
,,164,24.878538076
,,164.5,24.8683900315
,,165,24.858241898
,,165.5,24.8509931762
,,166,24.8393951249
,,166.5,24.8321462821
,,167,24.8190982459
,,167.5,24.8089496663
,,168,24.7973511736
,,168.5,24.7886522221
,,169,24.7814030416
,,169.5,24.7727039595
,,170,24.7625549391
,,170.5,24.7480561663
,,171,24.7437064946
,,171.5,24.7292074547
,,172,24.7176080724
,,172.5,24.7089084472
,,173,24.6958588655
,,173.5,24.6857090703
,,174,24.6770091612
,,174.5,24.6668591674
,,175,24.6596091057
,,175.5,24.6509089581
,,176,24.6393086357
,,176.5,24.6277081683
,,177,24.6132073781
,,177.5,24.6059568964
,,178,24.5987063564
,,178.5,24.5914557578
,,179,24.5784045315
,,179.5,24.5682534443
,,180,24.5610025957
,,180.5,24.549401112
,,181,24.536349256
,,181.5,24.5305483672
,,182,24.517496222
,,182.5,24.5102449427
,,183,24.4986427649
,,183.5,24.4913913212
,,184,24.4826895045
,,184.5,24.4652855927
,,185,24.4594842056
,,185.5,24.4522324128
,,186,24.4391790197
,,186.5,24.4275758231
,,187,24.4174228853
,,187.5,24.4072698152
,,188,24.4000175408
,,188.5,24.392765198
,,189,24.3797108075
,,189.5,24.3695572374
,,190,24.3623046035
,,190.5,24.3492496854
,,191,24.3419968541
,,191.5,24.3289415779
,,192,24.315886069
,,192.5,24.3129848129
,,193,24.2999290165
,,193.5,24.2926756939
,,194,24.2781688272
,,194.5,24.2709152825
,,195,24.2593094554
,,195.5,24.2491541986
,,196,24.2404495746
,,196.5,24.2317448408
,,197,24.2215891785
,,197.5,24.2128842048
,,198,24.1998265345
,,198.5,24.1940230443
,,199,24.1853177147
,,199.5,24.1766122714
,,200,24.1621029449
,,200.5,24.1490442772
,,201,24.1417893489
,,201.5,24.1301812948
,,202,24.1229261549
,,202.5,24.1142198787
,,203,24.1026113257
,,203.5,24.0881003353
,,204,24.0750401576
,,204.5,24.0706867043
,,205,24.0619797064
,,205.5,24.0518213873
,,206,24.0402116744
,,206.5,24.0300529948
,,207,24.0213454201
,,207.5,24.0111864244
,,208,23.9995759334
,,208.5,23.992319262
,,209,23.9821597733
,,209.5,23.9647431007
,,210,23.9574860013
,,210.5,23.9473259104
,,211,23.9444229947
,,211.5,23.9284566977
,,212,23.9182960962
,,212.5,23.9095868654
,,213,23.896522769
,,213.5,23.8863615964
,,214,23.8776518736
,,214.5,23.8747486026
,,215,23.8631353673
,,215.5,23.8471667718
,,216,23.8399081663
,,216.5,23.8326494649
,,217,23.8224871208
,,217.5,23.8166799817
,,218,23.8021618616
,,218.5,23.7949026548
,,219,23.7818358345
,,219.5,23.7716725306
,,220,23.7615090317
,,220.5,23.7557012302
,,221,23.7411814452
,,221.5,23.7382774398
,,222,23.7223051204
,,222.5,23.7121406606
,,223,23.701976
,,223.5,23.6889068541
,,224,23.6830982372
,,224.5,23.6671241975
,,225,23.6613153303
,,225.5,23.6526019036
,,226,23.6438883252
,,226.5,23.6322699834
,,227,23.6221037109
,,227.5,23.6133895963
,,228,23.6046753271
,,228.5,23.5916036322
,,229,23.5828889738
,,229.5,23.5741741586
,,230,23.5654591861
,,230.5,23.5538389767
,,231,23.5494813255
,,231.5,23.5305977092
,,232,23.5262398448
,,232.5,23.5117133393
,,233,23.5044499181
,,233.5,23.4942809387
,,234,23.4870172462
,,234.5,23.4724895197
,,235,23.4710367219
,,235.5,23.4594141746
,,236,23.4492442042
,,236.5,23.4376211035
,,237,23.4303565147
,,237.5,23.4172799609
,,238,23.4085620476
,,238.5,23.3998439649
,,239,23.3911257123
,,239.5,23.3824072891
,,240,23.3751418056
,,240.5,23.3649699283
,,241,23.3518914551
,,241.5,23.3460786752
,,242,23.3315463871
,,242.5,23.3228267812
,,243,23.3126536857
,,243.5,23.3039336986
,,244,23.2966669075
,,244.5,23.2893999933
,,245,23.2792261056
,,245.5,23.2719588942
,,246,23.2617845889
,,246.5,23.2545170781
,,247,23.2399816801
,,247.5,23.2268993907
,,248,23.2181776365
,,248.5,23.2094556992
,,249,23.1978261635
,,249.5,23.1920112726
,,250,23.1832887821
,,250.5,23.1760198982
,,251,23.1643894148
,,251.5,23.1527585989
,,252,23.1454891695
,,252.5,23.1338578101
,,253,23.1265880397
,,253.5,23.1149561329
,,254,23.107686019
,,254.5,23.0960535607
,,255,23.0916913009
,,255.5,23.0800583728
,,256,23.0684251013
,,256.5,23.0655167296
,,257,23.0582457058
,,257.5,23.0378861187
,,258,23.0320688979
,,258.5,23.0247972489
,,259,23.0146167103
,,259.5,23.0058903199
,,260,22.9928003619
,,260.5,22.9898914214
,,261,22.9753463857
,,261.5,22.9651645291
,,262,22.9578916064
,,262.5,22.9477092789
,,263,22.9346173091
,,263.5,22.9258890747
,,264,22.9215248809
,,264.5,22.9113415628
,,265,22.901157965
,,265.5,22.8924289435
,,266,22.8880643553
,,266.5,22.8764251998
,,267,22.8647856746
,,267.5,22.856055787
,,268,22.8458706534
,,268.5,22.8371403111
,,269,22.8254995265
,,269.5,22.8196789931
,,270,22.8124031938
,,270.5,22.7978511516
,,271,22.784753806
,,271.5,22.7789326085
,,272,22.7629238219
,,272.5,22.7556468606
,,273,22.739637015
,,273.5,22.7221708929
,,274,22.7119819169
,,274.5,22.7032482705
,,275,22.6901473869
,,275.5,22.6785017383
,,276,22.6712230072
,,276.5,22.659576715
,,277,22.6508417347
,,277.5,22.6421065298
,,278,22.6362829348
,,278.5,22.6260914022
,,279,22.6158995614
,,279.5,22.6057074114
,,280,22.5940588601
,,280.5,22.5882344321
,,281,22.5780414379
,,281.5,22.5649356995
,,282,22.5620232428
,,282.5,22.5518294417
,,283,22.5445479621
,,283.5,22.5328972588
,,284,22.5241589594
,,284.5,22.515420426
,,285,22.5066816581
,,285.5,22.4993991719
,,286,22.4877468533
,,286.5,22.4775507295
,,287,22.4717242281
,,287.5,22.4600709081
,,288,22.4542440891
,,288.5,22.4440469
,,289,22.4382197884
,,289.5,22.4251083965
,,290,22.4178240555
,,290.5,22.407625696
,,291,22.3988839823
,,291.5,22.3930560381
,,292,22.3813998248
,,292.5,22.3784857036
,,293,22.3668289468
,,293.5,22.3610004048
,,294,22.3508001932
,,294.5,22.3420568874
,,295,22.3318560513
,,295.5,22.3260268505
,,296,22.3143681174
,,296.5,22.3027089409
,,297,22.2983366351
,,297.5,22.2881343443
,,298,22.2808467844
,,298.5,22.2721014815
,,299,22.2677287354
,,299.5,22.2546101175
,,300,22.2444063532
,,300.5,22.2400332053
,,301,22.225455585
,,301.5,22.2239977839
,,302,22.2094193811
,,302.5,22.2006719967
,,303,22.1977561446
,,303.5,22.1831764536
,,304,22.1773443758
,,304.5,22.1671379618
,,305,22.1613055663
,,305.5,22.1540149088
,,306,22.1438076833
,,306.5,22.135058349
,,307,22.1306835833
,,307.5,22.1175588915
,,308,22.1073503871
,,308.5,22.1015167943
,,309,22.0913077231
,,309.5,22.0825568025
,,310,22.0767227073
,,310.5,22.0694299213
,,311,22.0635955588
,,311.5,22.051926476
,,312,22.0460917554
,,312.5,22.0344219548
,,313,22.0256692891
,,313.5,22.0183751942
,,314,22.0096220313
,,314.5,22.0023275211
,,315,21.9964917766
,,315.5,21.9833609074
,,316,21.9789838141
,,316.5,21.971688506
,,317,21.9658521221
,,317.5,21.9570973167
,,318,21.9439645908
,,318.5,21.9352090941
,,319,21.9264533196
,,319.5,21.9191566283
,,320,21.9133191358
,,320.5,21.9045626642
,,321,21.8943464268
,,321.5,21.8885084053
,,322,21.8797511387
,,322.5,21.8724532013
,,323,21.8622357593
,,323.5,21.8549373506
,,324,21.8447192472
,,324.5,21.8345007567
,,325,21.8272015972
,,325.5,21.8242818779
,,326,21.8140626097
,,326.5,21.8038429512
,,327,21.7936229014
,,327.5,21.7907028151
,,328,21.7790221491
,,328.5,21.7746417667
,,329,21.7644205928
,,329.5,21.7527387669
,,330,21.7483579486
,,330.5,21.7410564229
,,331,21.7308339457
,,331.5,21.7235319321
,,332,21.7176901744
,,332.5,21.7074667839
,,333,21.7016246664
,,333.5,21.694321835
,,334,21.6840975257
,,334.5,21.6767942006
,,335,21.6665691986
,,335.5,21.6592653776
,,336,21.6519613493
,,336.5,21.6446571134
,,337,21.6373526695
,,337.5,21.6271260977
,,338,21.6212821586
,,338.5,21.6154380855
,,339,21.6095938784
,,339.5,21.6008273157
,,340,21.5920604502
,,340.5,21.5847544971
,,341,21.5730645326
,,341.5,21.5701419569
,,342,21.5599126745
,,342.5,21.548221556
,,343,21.543837246
,,343.5,21.5394528592
,,344,21.5306838549
,,344.5,21.5233761159
,,345,21.5102216451
,,345.5,21.5072983348
,,346,21.4999899084
,,346.5,21.4912195119
,,347,21.4824488043
,,347.5,21.4736777848
,,348,21.4663683631
,,348.5,21.4590587241
,,349,21.4488248634
,,349.5,21.4385905748
,,350,21.4342043198
,,350.5,21.4268937195
,,351,21.4195828997
,,351.5,21.4137340856
,,352,21.4049606001
,,352.5,21.3976491195
,,353,21.3859502905
,,353.5,21.3801006634
,,354,21.3713259562
,,354.5,21.3669384825
,,355,21.3596258482
,,355.5,21.3523129908
,,356,21.342074615
,,356.5,21.3391492842
,,357,21.3289103437
,,357.5,21.3215965453
,,358,21.3142825217
,,358.5,21.3069682727
,,359,21.2967279446
,,359.5,21.2923390968
,,360,21.2835611562
,,360.5,21.2747828887
,,361,21.2674674155
,,361.5,21.2586885467
,,362,21.254298989
,,362.5,21.2440563674
,,363,21.239666535
,,363.5,21.2367399342
,,364,21.2308866223
,,364.5,21.2264965419
,,365,21.2118623416
,,365.5,21.206008403
,,366,21.2001543165
,,366.5,21.1928364999
,,367,21.1840548138
,,367.5,21.1767364865
,,368,21.1723453784
,,368.5,21.1635629105
,,369,21.1547801064
,,369.5,21.1489247165
,,370,21.1416052683
,,370.5,21.1401413506
,,371,21.129893663
,,371.5,21.1196455143
,,372,21.1137892219
,,372.5,21.1050044998
,,373,21.0962194371
,,373.5,21.093291007
,,374,21.0874340329
,,374.5,21.0757196286
,,375,21.0713265698
,,375.5,21.0625401948
,,376,21.0596113267
,,376.5,21.049359987
,,377,21.0435018679
,,377.5,21.036179003
,,378,21.0259265885
,,378.5,21.0229972406
,,379,21.012744219
,,379.5,21.011279463
,,380,21.0010259002
,,380.5,20.9907718628
,,381,20.9819823094
,,381.5,20.9775874013
,,382,20.9702623599
,,382.5,20.9600068921
,,383,20.9556115451
,,383.5,20.948285771
,,384,20.9468205868
,,384.5,20.9336334875
,,385,20.9233763043
,,385.5,20.9233763043
,,386,20.9160494493
,,386.5,20.9087223476
,,387,20.89846399
,,387.5,20.8940674024
,,388,20.8852739596
,,388.5,20.8794114657
,,389,20.8750144908
,,389.5,20.8706174264
,,390,20.8603572603
,,390.5,20.8574256944
,,391,20.8500966048
,,391.5,20.8413013668
,,392,20.8339717261
,,392.5,20.8281078327
,,393,20.8222437784
,,393.5,20.8134473947
,,394,20.8031844879
,,394.5,20.795853537
,,395,20.7914548449
,,395.5,20.7870560616
,,396,20.7797245531
,,396.5,20.7694600142
,,397,20.7650607735
,,397.5,20.7621278953
,,398,20.7577285016
,,398.5,20.7474628921
,,399,20.7386633992
,,399.5,20.7269301678
,,400,20.7225300366
,,400.5,20.7166630509
,,401,20.7107959005
,,401.5,20.7078622634
,,402,20.6961273021
,,402.5,20.6931934585
,,403,20.6843916789
,,403.5,20.6770565775
,,404,20.6697212165
,,404.5,20.6653198752
,,405,20.6609184401
,,405.5,20.6565169113
,,406,20.6491808212
,,406.5,20.6447790419
,,407,20.6330405035
,,407.5,20.6286383788
,,408,20.6168989177
,,408.5,20.6110289349
,,409,20.6051587837
,,409.5,20.5992884638
,,410,20.5948856132
,,410.5,20.5860796265
,,411,20.583144213
,,411.5,20.5787410133
,,412,20.572869932
,,412.5,20.5640629917
,,413,20.5581914856
,,413.5,20.5537877443
,,414,20.5479159401
,,414.5,20.537639872
,,415,20.5332356826
,,415.5,20.5244270148
,,416,20.5170861637
,,416.5,20.5097450443
,,417,20.5009353464
,,417.5,20.4979986943
,,418,20.4921252608
,,418.5,20.4877200724
,,419,20.4847832262
,,419.5,20.4745039239
,,420,20.4715668831
,,420.5,20.4642240913
,,421,20.4583496627
,,421.5,20.4554123832
,,422,20.4480689944
,,422.5,20.4407253334
,,423,20.4319125807
,,423.5,20.4275060569
,,424,20.4186927143
,,424.5,20.4128169337
,,425,20.4084099832
,,425.5,20.4025338956
,,426,20.3995957859
,,426.5,20.386373748
,,427,20.3834353963
,,427.5,20.3775585605
,,428,20.3746200764
,,428.5,20.3672736728
,,429,20.3569882432
,,429.5,20.3481717286
,,430,20.3408243279
,,430.5,20.3378852898
,,431,20.3305374998
,,431.5,20.3320070801
,,432,20.3261286922
,,432.5,20.3187804565
,,433,20.3084924575
,,433.5,20.3055529285
,,434,20.2982039102
,,434.5,20.2923244938
,,435,20.2864448978
,,435.5,20.27909515
,,436,20.27909515
,,436.5,20.2658648948
,,437,20.2643948101
,,437.5,20.2570442172
,,438,20.2496933417
,,438.5,20.2467529123
,,439,20.2349907416
,,439.5,20.2276390162
,,440,20.226168637
,,440.5,20.2202870066
,,441,20.2114642195
,,441.5,20.2085231993
,,442,20.1996998648
,,442.5,20.1952880433
,,443,20.1894054546
,,443.5,20.1791104833
,,444,20.1791104833
,,444.5,20.1702857748
,,445,20.1614606527
,,445.5,20.1570479362
,,446,20.1541060677
,,446.5,20.1482221922
,,447,20.1423381321
,,447.5,20.134982797
,,448,20.132040582
,,448.5,20.1217424646
,,449,20.123213659
,,449.5,20.1129150546
,,450,20.1070298822
,,450.5,20.1026158809
,,451,20.095258979
,,451.5,20.0923161367
,,452,20.0849588268
,,452.5,20.082015821
,,453,20.0717149327
,,453.5,20.0643568041
,,454,20.0614134707
,,454.5,20.0525831885
,,455,20.0496396671
,,455.5,20.0393369718
,,456,20.0363932386
,,456.5,20.0363932386
,,457,20.0275617559
,,457.5,20.024617834
,,458,20.0172578222
,,458.5,20.0084254177
,,459,20.0054811881
,,459.5,20.0025369111
,,460,19.9951760109
,,460.5,19.9878148137
,,461,19.9833979527
,,461.5,19.977508638
,,462,19.9701467264
,,462.5,19.9657294362
,,463,19.9598395488
,,463.5,19.9554220077
,,464,19.9480591998
,,464.5,19.9392234348
,,465,19.9421687378
,,465.5,19.9289144961
,,466,19.9259689769
,,466.5,19.9215506078
,,467,19.9156592804
,,467.5,19.9082948498
,,468,19.9068219275
,,468.5,19.8994571347
,,469,19.8906189843
,,469.5,19.8876728373
,,470,19.8788341054
,,470.5,19.8714681618
,,471,19.8670484497
,,471.5,19.8596820197
,,472,19.8478950981
,,472.5,19.8508419017
,,473,19.8390543943
,,473.5,19.8331603473
,,474,19.8287396836
,,474.5,19.8257925131
,,475,19.8169507076
,,475.5,19.8081084602
,,476,19.8051609461
,,476.5,19.7948442589
,,477,19.7904226367
,,477.5,19.7830530197
,,478,19.772735037
,,478.5,19.762416448
,,479,19.7520972514
,,479.5,19.7476745524
,,480,19.7373544861
,,480.5,19.7285082293
,,481,19.7255593772
,,481.5,19.7152380019
,,482,19.7093397981
,,482.5,19.7063906211
,,483,19.696068107
,,483.5,19.6916439843
,,484,19.6842701952
,,484.5,19.6768960918
,,485,19.6739463624
,,485.5,19.6665718182
,,486,19.6606719559
,,486.5,19.6532968439
,,487,19.6532968439
,,487.5,19.6444462923
,,488,19.642971156
,,488.5,19.6355952848
,,489,19.6326448476
,,489.5,19.6223179173
,,490,19.6193672515
,,490.5,19.6105149485
,,491,19.6060886251
,,491.5,19.601662187
,,492,19.5957600909
,,492.5,19.5883821833
,,493,19.5839552853
,,493.5,19.5795282722
,,494,19.576576866
,,494.5,19.5691981263
,,495,19.5647707286
,,495.5,19.5603432152
,,496,19.5588673517
,,496.5,19.5514878415
,,497,19.5485359473
,,497.5,19.5411559864
,,498,19.5382039117
,,498.5,19.5322996077
,,499,19.527871244
,,499.5,19.5219665782
,,500,19.5160617054
,,500.5,19.5101566253
,,501,19.5042513378
,,501.5,19.5042513378
,,502,19.4953930171
,,502.5,19.4894872101
,,503,19.4850577182
,,503.5,19.4791515467
,,504,19.4761983827
,,504.5,19.4702918983
,,505,19.462908499
,,505.5,19.4570015443
,,506,19.4525711909
,,506.5,19.4510943802
,,507,19.4466638696
,,507.5,19.4437101304
,,508,19.4407563386
,,508.5,19.4333716296
,,509,19.4230324851
,,509.5,19.4230324851
,,510,19.415646987
,,510.5,19.4053067362
,,511,19.4008750021
,,511.5,19.3964431492
,,512,19.4008750021
,,512.5,19.389056463
,,513,19.3846242925
,,513.5,19.3846242925
,,514,19.3787145463
,,514.5,19.3787145463
,,515,19.3683719798
,,515.5,19.3609840337
,,516,19.3580287621
,,516.5,19.353595755
,,517,19.3476848923
,,517.5,19.3462071433
,,518,19.3388181983
,,518.5,19.3314289194
,,519,19.3269951916
,,519.5,19.3196053777
,,520,19.3225613434
,,520.5,19.3151713286
,,521,19.3077809785
,,521.5,19.3018684569
